assignmentNumber,name,elementType,hex,rgb
0,Squishy Water Socks,water,#2ce689,"rgb(44,230,137,255)"
1,Gambit Prince,water,#d4fbe8,"rgb(212,251,232,255)"
2,Minor Frostbite,water,#e1f8ff,"rgb(225,248,255,255)"
3,Sour Shark,water,#c7ddff,"rgb(199,221,255,255)"
4,Crisp Carbine,water,#5c9af7,"rgb(92,154,247,255)"
5,Acrobat Blitz,water,#77abfa,"rgb(119,171,250,255)"
6,Blue Dragon,water,#0e60e6,"rgb(14,96,230,255)"
7,First Titan,water,#3986fa,"rgb(57,134,250,255)"
8,Salty Lightning,water,#07bff7,"rgb(7,191,247,255)"
9,Unicorn Baroness,water,#0499ba,"rgb(4,153,186,255)"
10,Odd Enigma,water,#00f7ff,"rgb(247,255,255)"
11,Electric Wave,water,#37dbe6,"rgb(55,219,230,255)"
12,Fuzzy Serpent,water,#d6f016,"rgb(214,240,22,255)"
13,Honest Salesman,water,#d4ff00,"rgb(212,255,0,255)"
14,Shiny Bandit,water,#7038f2,"rgb(112,56,242,255)"
15,Water Polo,water,#00ee33,"rgb(0,238,51,255)"
0,Gracious Behemoth,fire,#fa0101,"rgb(250,1,1,255)"
1,Loud Devil,fire,#ba0000,"rgb(186,0,0,255)"
2,Fake Balboa,fire,#de6464,"rgb(222,100,100,255)"
3,Incredible Sunshine,fire,#fff700,"rgb(255,247,0,255)"
4,Bronze Unicorn,fire,#ff9830,"rgb(255,152,48,255)"
5,Daring Supernova,fire,#fa7e00,"rgb(250,126,0,255)"
6,Hazel Jumper,fire,#fbb54b,"rgb(251,181,75,255)"
7,Plastic Clown,fire,#ed0795,"rgb(237,7,149,255)"
8,Salty Pawn,fire,#fc68c3,"rgb(252,104,195,255)"
9,Imaginary Panther,fire,#e03de0,"rgb(224,61,224,255)"
10,Selfish Flamingo,fire,#ff38ff,"rgb(255,56,255,255)"
11,Dessert Walker,fire,#ebc3b9,"rgb(235,195,185,255)"
12,Distant Whisper,fire,#fff5ff,"rgb(255,245,255,255)"
13,Boring Grandpa,fire,#fff7db,"rgb(255,247,219,255)"
14,Bad Bat,fire,#6800fa,"rgb(104,0,250,255)"
15,Gurple,fire,#ba00cc,"rgb(186,0,204,255)"
0,Glorious Girl Scout,earth,#00fa15,"rgb(0,250,21,255)"
1,Wicked Mantis,earth,#26bd32,"rgb(38,189,50,255)"
2,Virtual Cayman,earth,#28e038,"rgb(40,224,56,255)"
3,Cut Grass,earth,#e8e658,"rgb(232,230,88,255)"
4,Squash Soup,earth,#d9d216,"rgb(217,210,22,255)"
5,Green Clay,earth,#c4c104,"rgb(196,193,4,255)"
6,Lonely Maple,earth,#eb8500,"rgb(235,133,0,255)"
7,Icky Eagle,earth,#ffb34f,"rgb(255,179,79,255)"
8,Golden Arrow,earth,#f08e0e,"rgb(240,142,14,255)"
9,Foxtail Twilight,earth,#fcbd6a,"rgb(252,189,106,255)"
10,Sick Bumblebee,earth,#ffc06e,"rgb(255,192,110,255)"
11,Late Liberty,earth,#c8ffc4,"rgb(200,255,196,255)"
12,Tired Traveler,earth,#fff800,"rgb(255,248,0,255)"
13,Hospital Walls,earth,#ffffc4,"rgb(255,255,196,255)"
14,Urban Halo,earth,#ccad43,"rgb(204,173,67,255)"
15,Golf Grass,earth,#009932,"rgb(0,153,50,255)"
0,Slippery Water Slide,wind,#579bfa,"rgb(87,155,250,255)"
1,Gentle Luna,wind,#5089d9,"rgb(80,137,217,255)"
2,Crystal Lancer,wind,#cff3fd,"rgb(207,243,253,255)"
3,Jolly Eyes,wind,#83e3fd,"rgb(131,227,253,255)"
4,Eighties Party,wind,#55ffff,"rgb(85,255,255,255)"
5,Basic Dragonfly,wind,#ae63e0,"rgb(174,99,224,255)"
6,Glorious Enigma,wind,#9a71ff,"rgb(154,113,255,255)"
7,Fickle Willow,wind,#e1b5ff,"rgb(225,181,255,255)"
8,Snowy Phantom,wind,#d1cffa,"rgb(209,207,250,255)"
9,Muted Rose,wind,#ff74e2,"rgb(255,116,226,255)"
10,Dizzy Rainbow,wind,#eb15c0,"rgb(235,21,192,255)"
11,Cuddly Starburst,wind,#c4069b,"rgb(196,6,155,255)"
12,Cali Shirt,wind,#fcf7b6,"rgb(252,247,182,255)"
13,Murky Avalanche,wind,#ffdf8e,"rgb(255,223,142,255)"
14,Dust Tower,wind,#ffcfaf,"rgb(255,207,175,255)"
15,Winter Night Cloud,wind,#aaccee,"rgb(170,204,238,255)"
